,squareMeters,numberOfRooms,hasPool,cityCode,price
83,42059,46,1,43289,4212125.7
84,38430,43,1,3406,3846214.1
85,7069,4,0,55300,709107.9
86,34780,75,1,67297,3480536.9
87,12757,100,0,19550,1277834.0
88,33749,74,1,73976,3380855.9
89,600,37,0,72736,63402.1
90,7239,61,0,26435,733776.4
91,34919,20,1,60113,3499532.7
92,25614,29,0,52970,2563970.4
93,51434,64,0,79754,5146226.2
94,78960,55,1,23408,7900996.5
95,70751,64,1,92268,7084110.6
96,81870,60,1,58048,8198185.0
97,91559,36,1,82521,9161130.7
98,72098,9,1,91168,7216904.4
99,23177,19,0,69373,2318776.3
100,39517,92,0,51212,3953491.9
101,55232,23,0,849,5524015.1
102,53735,49,1,2423,5384554.6
103,67753,72,1,31721,6789580.5
104,1450,59,0,2317,146181.8
105,82141,93,1,74213,8225970.9
106,17868,73,0,48674,1792308.3
107,71397,71,0,68199,7145471.5
108,32623,35,1,80204,3267852.3
109,23841,71,1,32106,2390804.0
110,16495,94,0,90448,1650711.1
111,39109,24,0,74477,3917652.2
112,65151,81,1,66191,6522781.1
113,61484,91,0,87015,6154833.3
114,57160,15,1,40786,5724102.2
115,13346,57,0,30010,1336414.1
116,27351,77,0,98465,2738851.7
117,18466,50,1,89670,1849227.0
118,45441,29,0,21239,4552319.4
119,55933,15,0,5800,5599976.1
120,81936,68,0,6143,8198107.1
121,18237,70,0,25093,1833338.1
122,35631,54,0,77355,3568002.8
123,99683,12,0,18300,9977000.2
124,47664,44,0,98008,4770073.0
125,62887,45,1,91125,6293710.3
126,18470,20,1,9406,1852115.0
127,36031,63,0,74698,3612495.1
128,22776,84,0,82401,2278599.3
129,14830,81,0,17641,1487488.2
130,43944,40,0,5581,4403326.2
131,73062,34,1,44770,7313447.6
132,84284,76,0,55723,8432554.8
133,9619,66,0,82543,969806.1
134,11410,96,1,85454,1150663.9
135,29855,63,0,78080,2987645.0
136,46716,94,0,25303,4674140.8
137,77046,69,0,43517,7714235.2
138,58855,1,0,20127,5892518.4
139,69165,66,0,51371,6926290.9
140,57915,25,1,87517,5800324.7
141,66279,47,0,21934,6631365.3
142,16068,21,0,21716,1611707.1
143,74325,50,1,91978,7443433.4
144,35742,46,1,84138,3581003.4
145,9026,51,0,85842,904797.0
146,16899,19,1,47328,1693690.0
147,99854,82,0,82741,9989598.9
148,33743,56,1,21945,3382812.6
149,72798,22,1,61212,7290431.7
150,86492,21,0,42450,8654049.2
151,38937,35,1,2867,3901433.3
152,24762,22,1,50367,2480900.9
153,91047,45,0,41065,9109264.9
154,55527,64,1,61931,5557814.5
155,70606,17,1,38,7070662.7
156,67327,47,0,26709,6741466.0
157,6125,90,1,95979,615143.2
158,71833,37,1,58147,7185318.3
159,20811,98,1,91543,2090690.5
160,7643,98,0,5989,765618.9
161,16669,95,1,15949,1676719.7
162,84006,73,1,54296,8409827.0
163,34059,49,0,63489,3412619.3
164,36131,95,0,72385,3620939.1
165,8201,18,1,38920,826967.7
166,38398,84,0,44513,3842545.4
167,38833,10,0,28075,3884619.4
168,41488,22,0,2019,4151539.3
169,5205,2,0,71289,521650.5
170,45066,28,0,85825,4508367.3
171,63875,53,1,54408,6394774.9
172,25052,88,0,1083,2515214.0
173,51457,64,1,68294,5150600.6
174,84396,64,0,88421,8449333.5
175,64920,98,1,1173,6501809.6
176,9166,4,0,26610,922847.5
177,85558,48,0,55318,8568781.7
178,87267,75,0,57714,8731940.9
179,96091,100,1,99874,9615021.9
180,38003,98,0,49191,3803545.8
181,83120,97,1,93953,8318749.5
182,20468,100,0,63924,2049846.3
183,75152,91,0,61836,7518709.8
184,32688,9,1,86166,3274057.3
185,45868,72,1,33082,4600708.4
186,73900,69,1,57473,7394635.8
187,16000,41,1,86898,1606948.7
188,1423,59,1,21687,149234.3
189,29951,37,1,56604,3002371.5
190,40231,84,1,64474,4030226.9
191,59517,38,0,93928,5958698.3
192,98969,26,0,36941,9902968.3
193,99177,49,0,5100,9919217.1
194,89157,46,0,34482,8920282.9
195,67429,60,1,89820,6749654.1
196,38431,57,0,69199,3848467.0
197,72495,76,1,8723,7259025.4
198,85362,77,0,40604,8541211.7
199,28597,93,0,16237,2863386.0
200,13687,36,1,2400,1376329.1
201,50479,3,1,39939,5057657.0
202,98121,38,1,20289,9817494.5
203,57736,16,0,83855,5775940.9
204,30356,40,0,13378,3039209.2
205,21141,38,1,65184,2126023.8
206,98122,34,0,80176,9813433.9
207,34746,12,0,57668,3478332.0
208,17297,43,1,99289,1738971.2
209,80324,47,1,20394,8039714.3
210,15815,13,1,2179,1585031.9
211,1066,5,1,65388,114605.7
212,79275,95,1,13000,7930383.5
213,20658,7,1,80216,2076936.7
214,8687,88,1,2052,877525.3
215,69638,42,1,89878,6977654.1
216,94036,18,0,79418,9406163.1
217,60889,72,0,55928,6091341.8
218,11680,21,0,5324,1169431.2
219,11458,96,1,95286,1154040.0
220,20397,67,0,29406,2042985.7
221,83206,34,0,27565,8326302.9
222,8951,11,0,32412,904889.7
223,22854,41,0,74420,2292467.1
224,46042,52,0,45861,4605791.5
225,93506,20,0,7068,9356982.7
226,58748,76,0,20761,5875981.0
227,715,71,0,33439,74252.0
228,55327,22,0,76622,5540589.3
229,63631,84,0,31269,6369055.0
230,77915,99,0,63942,7793915.8
231,91804,5,0,87339,9182083.9
232,57295,95,0,32081,5731510.4
233,61057,65,0,17051,6114671.8
234,91626,83,0,59173,9169068.1
235,29356,96,1,4864,2948071.0
236,27134,62,0,1498,2715604.3
237,1682,65,0,7602,174918.7
238,98868,41,1,85917,9892300.1
239,23898,62,0,73176,2399286.6
240,83110,43,0,55046,8321631.1
241,71154,67,1,8762,7122699.1
242,90841,48,0,25300,9086177.3
243,68416,87,0,60979,6846709.0
244,47585,95,0,81532,4759724.3
245,28452,79,0,79918,2850377.6
246,15630,78,0,98750,1565985.6
247,65900,36,1,27819,6605894.7
248,21600,94,0,85215,2166421.0
249,74704,31,0,93675,7472587.2
250,87291,78,1,5950,8739254.7
251,96687,65,1,70871,9673884.2
252,60567,65,1,39919,6071330.9
253,4872,41,0,79028,489455.0
254,9157,48,0,6500,922102.9
255,65217,26,1,96357,6531999.9
256,87346,56,1,34773,8743241.0
257,47701,26,0,73572,4773352.1
258,14766,50,1,36865,1488265.1
259,94841,19,1,11526,9498026.8
260,59318,92,0,68354,5939275.2
261,1796,28,0,66676,180265.7
262,96526,36,1,61875,9661068.0
263,62876,36,0,90089,6288117.6
264,59558,43,1,79779,5967916.2
265,97008,89,1,11466,9703551.4
266,66746,6,0,22139,6678869.7
267,25776,36,0,4777,2582235.2
268,96195,97,1,91809,9626665.8
269,4805,47,1,48026,486824.5
270,23045,21,0,72570,2312202.0
271,95441,70,1,3574,9554998.7
272,28381,34,0,44973,2847241.9
273,15731,34,1,93825,1582940.3
274,18966,58,0,4414,1902151.9
275,24393,46,1,18507,2449464.9
276,53339,67,0,6144,5335546.3
277,44053,17,0,70068,4413295.4
278,70898,98,0,51635,7091863.4
279,84483,41,0,28464,8452134.9
280,35716,24,0,77207,3574932.3
281,64693,64,0,90290,6471378.3
282,32593,40,0,89328,3265750.6
283,1607,63,1,32832,173112.0
284,39484,74,1,6688,3954971.1
285,32458,28,1,47125,3253846.5
286,72243,64,1,34837,7229477.4
287,20624,44,0,50284,2070369.6
288,7443,38,0,4785,748338.5
289,78382,41,0,58781,7840062.0
290,70614,15,1,61317,7075926.0
291,32235,59,0,76786,3225143.6
292,2523,12,1,75753,260710.5
293,87864,55,0,48421,8790481.9
294,18316,97,0,68804,1832673.1
295,94471,30,1,55210,9454072.1
296,60704,96,1,18856,6080655.4
297,54020,4,0,58230,5406334.3
298,59612,37,0,69063,5967739.7
299,56467,63,0,28576,5649094.0
300,65625,55,1,89469,6567597.5
301,41570,76,1,21758,4167932.4
302,44862,99,1,58122,4493882.2
303,47212,37,1,4826,4734236.1
304,2840,17,0,94918,288797.4
305,40465,85,0,6023,4052600.4
306,17191,80,1,49538,1728829.5
307,56480,85,0,21192,5653048.6
308,70503,78,0,72210,7051701.1
309,4885,100,0,79559,493693.3
310,58263,65,1,39046,5840294.6
311,47647,52,1,24285,4768169.2
312,57916,51,0,8801,5792783.8
313,6396,71,0,28917,643620.5
314,41972,18,1,40098,4206464.5
315,94311,11,0,89062,9439790.7
316,10714,41,1,23803,1075982.6
317,11259,26,1,34780,1134964.0
318,3534,16,1,39998,359850.3
319,52680,10,1,10177,5274696.1
320,62711,60,0,42211,6272944.7
321,19268,12,0,38471,1938014.0
322,36119,39,0,16503,3620813.9
323,28394,53,0,81916,2840816.3
324,20392,33,0,53104,2046763.7
325,7259,25,1,860,735079.4
326,28183,81,0,44087,2821593.3
327,92188,14,1,5286,9227140.6
328,29815,28,0,46462,2989048.5
329,50219,96,0,23667,5025975.3
330,1722,56,1,27948,182838.2
331,70399,14,1,82950,7048784.3
332,28790,52,0,13856,2883447.1
333,92962,7,1,32437,9304587.0
334,34245,2,0,50891,3430728.0
335,54677,64,1,77132,5477618.6
336,74227,84,0,98736,7427853.0
337,94939,46,1,55155,9503765.9
338,48884,58,0,15276,4895277.0
339,10638,39,0,64229,1066200.6
340,90315,61,1,21653,9044477.4
341,17633,28,0,83228,1767487.3
342,63242,45,1,63066,6327623.7
343,79344,46,1,19012,7945562.1
344,72093,48,1,83520,7223902.5
345,13378,59,0,2735,1342476.1
346,47019,35,1,60947,4706162.0
347,34666,75,1,28826,3477313.2
348,93509,28,1,48468,9361261.2
349,13583,42,0,42009,1364589.5
350,19649,11,1,87255,1970018.9
351,141,16,1,42248,22670.7
352,22821,64,1,66304,2289134.3
353,533,76,1,94923,65465.1
354,67020,71,1,64361,6711051.5
355,49094,30,0,90656,4916616.1
356,25269,88,0,86720,2530193.9
357,71989,41,0,50519,7204744.3
358,73180,1,1,38386,7325717.1
359,18926,58,1,32618,1908217.8
360,6492,76,0,81044,652565.8
361,98045,4,1,78526,9814193.2
362,51589,83,1,55528,5167451.8
363,24390,75,0,70527,2446317.2
364,75890,10,1,33129,7597786.1
365,29220,9,1,33789,2929116.4
366,72433,57,1,69864,7250644.1
367,57467,98,0,24393,5749361.3
368,81482,76,0,56103,8153070.7
369,61346,69,1,63238,6141452.9
370,80915,23,1,46095,8104297.2
371,65479,74,1,99953,6552454.0
372,48302,22,0,82376,4833604.7
373,76690,21,1,91395,7682267.0
374,14447,39,1,93847,1448447.2
375,24213,31,1,51767,2431969.4
376,1843,30,1,3,189919.7
377,78183,65,1,3648,7829898.7
378,99323,35,1,69665,9939399.8
379,67491,21,0,5308,6750826.7
380,2588,82,0,25395,267798.6
381,76635,6,1,73981,7669791.9
382,45070,100,0,21335,4510977.7
383,62381,58,0,22862,6243323.3
384,98543,2,0,88249,9860222.2
385,13972,39,0,91674,1397748.9
386,71567,70,1,64245,7166917.2
387,36804,99,0,76338,3681839.6
388,21297,71,1,75154,2136801.5
389,9950,1,0,79019,1000736.2
390,3661,50,1,1138,372556.7
391,88102,51,0,42082,8821018.6
392,72596,91,0,32957,7262781.5
393,70763,4,0,18220,7082373.5
394,12002,58,0,2764,1203664.5
395,26146,34,1,431,2627462.1
396,13716,62,1,61202,1382883.0
397,23281,32,1,87667,2339782.0
398,3824,45,1,11597,386574.9
399,56086,3,0,52007,5615576.1
400,19014,67,0,82387,1912984.9
401,80808,59,0,18733,8085990.4
402,83602,5,1,48528,8365162.1
403,99767,27,1,46530,9985836.8
404,60675,32,0,97066,6075733.2
405,20210,2,0,77066,2029228.7
406,28694,82,0,44298,2870499.1
407,45521,53,0,26627,4554205.1
408,55727,46,0,94339,5574845.6
409,17307,20,0,81794,1740869.6
410,86474,98,0,50147,8649993.4
411,6012,53,0,96011,607323.3
412,6617,51,0,26766,663333.0
413,34061,43,0,26346,3407529.3
414,12881,12,0,85503,1293712.6
415,48458,82,0,98206,4851198.2
416,89618,49,0,30029,8969519.6
417,10369,30,0,51049,1044857.9
418,21865,24,1,50297,2191960.3
419,30817,48,0,26230,3086005.3
420,8808,85,0,93756,888730.8
421,16006,69,1,6423,1610901.0
422,70517,37,0,67679,7052408.2
423,55592,68,1,80811,5564877.1
424,10978,17,1,25000,1103882.5
425,94388,7,0,41690,9446167.6
426,18041,90,0,90750,1817658.6
427,18220,91,1,50508,1833031.3
428,39342,7,1,88712,3946165.4
429,66570,59,0,85412,6657976.8
430,34592,100,1,63748,3465076.4
431,38700,25,1,101,3880396.6
432,32060,25,1,43201,3211741.7
433,8305,86,0,36778,838488.1
434,40080,50,0,11062,4011225.8
435,89335,66,1,25219,8938823.4
436,78546,92,1,52906,7864949.1
437,50066,63,1,81340,5015729.8
438,37008,61,1,13250,3708694.3
439,32876,98,1,48832,3299047.8
440,98266,14,1,27552,9838529.0
441,53665,66,1,16527,5379979.2
442,33469,98,1,29874,3362757.6
443,42578,49,1,3339,4264812.3
444,64329,25,0,54901,6436473.9
445,29512,96,1,49748,2955396.2
446,241,78,1,86182,29643.3
447,32709,47,1,86465,3284181.6
448,29271,70,1,33402,2938810.1
449,15542,19,0,48610,1556824.6
450,94951,52,1,45083,9498811.4
451,12296,54,0,44308,1233872.8
452,42390,17,0,16776,4245306.1
453,2157,22,0,68218,222104.1
454,70576,66,0,75420,7061024.3
455,22232,24,1,20211,2230267.5
456,31368,78,0,96715,3142605.7
457,2713,76,0,66674,273858.0
458,40939,60,0,67333,4097363.7
459,84892,59,0,1488,8492982.7
460,43332,60,1,16226,4336691.2
461,39445,100,0,31733,3947777.0
462,82032,78,0,11922,8209534.4
463,813,45,1,52891,84647.8
464,43432,44,1,780,4347238.0
465,80988,34,1,56385,8104253.5
466,99444,68,0,93693,9947284.1
467,37618,57,0,59333,3766350.8
468,63973,18,0,40739,6405935.2
469,99107,54,1,88495,9916550.8
470,71519,12,1,24484,7156303.2
471,91841,77,0,19103,9185367.1
472,28467,98,1,90596,2855561.9
473,77075,52,0,13884,7713855.2
474,91776,26,0,92099,9184100.1
475,69948,45,1,38826,7006951.7
476,68593,3,1,78866,6867934.1
477,56774,50,0,45524,5682955.5
478,84577,63,1,43522,8467175.1
479,78835,77,0,40276,7887862.2
480,59073,82,1,50312,5909662.3
481,6704,83,1,94479,682123.2
482,20968,48,0,39273,2100783.2
483,64244,20,0,89404,6435074.1
484,54133,1,1,49508,5426671.3
485,90842,60,1,25975,9092168.5
486,51780,83,0,3391,5184160.1
487,38722,91,0,20239,3876450.8
488,51127,85,0,53060,5119947.6
489,31802,100,0,6094,3184469.0
490,26770,8,1,79970,2687139.6
491,63839,58,1,92707,6389327.9
492,56181,76,1,27961,5630006.6
493,91757,82,0,92525,9182239.2
494,54200,51,0,34559,5423195.0
495,29788,61,0,65901,2983377.1
496,29180,7,0,71840,2923248.9
497,30630,62,1,24522,3072463.6
498,81114,23,1,34182,8118084.7
499,96016,48,1,76744,9605401.8
500,8977,53,1,91218,905963.4
501,92508,60,0,67387,9257332.6
502,38804,18,0,39560,3885083.0
503,34830,92,0,74921,3488181.3
504,48540,42,0,98742,4856286.6
505,25680,51,0,39163,2573981.9
506,73224,66,0,2142,7330502.1
507,29589,45,1,83674,2973362.6
508,96469,21,0,7761,9651382.4
509,35039,19,1,4336,3511457.4
510,99592,47,0,41554,9963329.7
511,70433,41,0,59694,7045037.8
512,73644,18,0,87197,7365392.8
513,77211,47,1,2192,7725844.6
514,36429,8,1,15705,3651244.9
515,90334,44,0,81833,9037622.0
516,51993,59,1,34373,5208507.3
517,44476,27,1,14585,4450503.3
518,31661,52,0,95986,3168722.0
519,68275,93,1,82905,6833270.0
520,85429,60,1,75588,8553293.6
521,90162,71,1,52536,9023922.2
522,81619,82,1,53446,8173020.4
523,65324,7,1,53047,6538401.9
524,4368,85,1,46782,443641.1
525,24525,35,1,78932,2461959.9
526,20949,5,1,26964,2102983.3
527,23609,14,0,24913,2364571.7
528,68084,35,0,40586,6809686.9
529,73406,72,0,77874,7351988.7
530,50638,65,0,62598,5068736.6
531,5457,32,0,5443,547357.2
532,73337,30,1,90306,7337758.5
533,95339,87,0,70589,9535650.3
534,63237,8,0,23635,6330589.9
535,30831,27,0,37790,3084723.8
536,57897,21,0,98705,5801637.3
537,87418,73,0,26313,8743030.5
538,20640,17,0,21471,2073310.5
539,35634,77,1,21065,3568972.8
540,87156,49,0,94383,8722474.9
541,80556,1,1,3902,8062244.1
542,70942,36,1,34429,7102693.9
543,38688,76,0,73628,3877141.2
544,83937,30,0,50195,8396191.2
545,92655,54,0,12209,9267281.6
546,35110,28,1,7687,3526172.5
547,61208,51,0,86241,6126371.1
548,47781,49,0,16377,4779776.3
549,23737,25,1,58841,2380599.3
550,83460,34,0,23734,8347291.7
551,55736,64,1,59881,5582770.7
552,15429,27,1,73305,1550188.1
553,74290,38,0,52850,7433059.6
554,85256,68,0,56640,8530096.9
555,9380,11,0,52987,945451.3
556,13414,59,1,81829,1350225.4
557,91716,7,1,69278,9184104.6
558,95828,54,0,76615,9589468.4
559,98478,7,1,44583,9852730.7
560,70874,99,1,11943,7097321.1
561,78217,78,0,34686,7828401.3
562,81101,65,1,46040,8118370.7
563,46883,49,0,80204,4691844.9
564,69319,38,0,39675,6936067.9
565,95288,45,1,81916,9543817.0
566,50589,75,0,82206,5061508.8
567,65155,69,0,26367,6521547.4
568,6049,99,0,21569,608869.0
569,25386,30,0,96357,2543209.1
570,1270,53,0,78847,131117.1
571,88561,37,0,11254,8860454.4
572,71676,13,1,34,7178514.9
573,82016,15,0,96050,8211272.4
574,21698,75,1,79997,2179801.1
575,476,14,1,24467,57103.9
576,16114,98,1,32522,1620468.0
577,55707,7,0,55496,5573001.4
578,53633,48,0,58011,5370339.0
579,29578,2,0,71220,2959100.3
580,51757,95,1,1745,5178222.9
581,80386,41,1,46734,8045146.4
582,60136,32,1,20364,6020434.5
583,15850,99,1,87877,1596900.0
584,29362,2,1,7356,2940727.0
585,60366,51,1,88209,6042370.5
586,9167,32,0,85421,923577.4
587,18586,93,1,30288,1862622.7
588,69443,27,1,60701,6947198.3
589,21015,37,0,43938,2107213.3
590,79337,83,0,55727,7940161.6
591,84947,54,0,53510,8498951.4
592,99665,16,1,17077,9976093.0
593,25493,31,0,43440,2555724.7
594,50580,57,1,7583,5072667.8
595,71040,40,1,27973,7110801.5
596,63320,3,1,13015,6338701.3
597,50465,68,1,56602,5051447.4
598,65919,40,0,30941,6596228.3
599,76489,43,1,44513,7655928.2
600,50093,89,1,46453,5013597.9
601,50118,80,0,39767,5016630.8
602,25309,28,0,64682,2535294.2
603,98191,17,0,90287,9828436.0
604,1607,10,0,50693,167249.4
605,4410,37,0,84761,444238.4
606,2374,41,1,46686,249562.8
607,94990,23,1,26015,9504433.8
608,18281,9,0,89508,1840231.6
609,64879,80,1,40356,6491104.1
610,54812,88,0,48822,5482093.0
611,605,29,1,47766,71250.5
612,27253,19,0,17039,2736783.0
613,17357,42,0,39233,1738079.8
614,54097,26,0,42242,5416865.6
615,95281,22,0,17132,9533000.0
616,69440,90,1,59457,6950509.4
617,44395,1,0,15234,4443692.2
618,48270,60,1,81900,4838349.0
619,30572,24,0,32061,3058110.8
620,63719,35,1,12297,6375632.2
621,45827,61,1,26520,4590725.6
622,70488,61,0,67659,7054483.0
623,79822,67,0,76857,7987847.3
624,27171,63,0,64977,2724534.7
625,58330,58,1,26565,5837640.2
626,87826,10,0,95822,8790247.7
627,49389,13,0,64991,4940959.3
628,56931,60,0,8545,5704458.4
629,66503,73,1,15190,6655758.0
630,88112,77,0,6319,8813820.1
631,43587,83,0,7076,4360172.5
632,86152,44,0,74404,8619787.2
633,81573,98,0,30003,8163076.2
634,72599,43,1,29526,7262443.7
635,43876,42,0,78995,4388329.3
636,10040,100,1,88378,1010790.4
637,40177,38,0,47156,4019219.1
638,21703,86,1,82410,2183649.9
639,57236,87,1,11180,5730262.0
640,17863,1,1,7350,1795013.9
641,85272,89,0,1813,8531221.5
642,91931,38,0,61701,9197803.6
643,29411,26,0,64099,2948395.7
644,37163,4,0,19102,3718311.4
645,26440,41,1,94901,2651410.6
646,9868,89,0,27902,992632.3
647,55250,31,1,43094,5534691.5
648,1121,9,1,18753,126775.0
649,26528,31,0,78028,2660108.2
650,18362,100,0,86705,1842236.9
651,40581,99,1,48665,4068225.8
652,89084,34,0,56568,8911966.0
653,90643,77,0,46178,9074993.2
654,70868,70,1,12324,7096273.5
655,17252,90,0,58659,1726850.0
656,45647,17,1,31458,4580938.9
657,64654,34,0,12031,6471114.2
658,87668,58,0,18473,8769343.7
659,97688,60,1,42775,9775672.0
660,5468,75,0,10625,553320.2
661,63509,72,0,77958,6356517.6
662,98262,60,0,79444,9827936.1
663,67735,36,1,79577,6777979.0
664,19728,97,0,49642,1977828.8
665,39191,71,0,29174,3921295.1
666,34585,34,1,41029,3471454.8
667,56666,13,0,80634,5671002.0
668,4920,96,1,72459,498937.3
669,23043,69,0,20666,2309235.7
670,86042,64,1,66703,8610684.0
671,84978,63,1,50078,8508647.0
672,66940,95,1,77329,6700142.6
673,69592,68,0,94229,6964235.0
674,46558,52,1,59297,4663394.9
675,30925,18,1,91239,3104280.6
676,39975,97,0,86063,4005185.6
677,8808,9,1,13333,887645.4
678,7131,88,1,22245,719772.5
679,49063,35,0,53623,4909260.1
680,79093,89,1,31911,7915505.4
681,95157,76,1,13430,9527400.2
682,43412,3,1,42196,4352882.0
683,23127,72,1,75970,2327821.5
684,63397,52,1,54284,6344621.3
685,6078,67,1,19159,614702.4
686,70367,63,0,82251,7043100.5
687,31471,3,0,90619,3149214.0
688,84503,53,1,75818,8455991.4
689,25661,18,0,37780,2567320.4
690,65823,2,1,30868,6587187.9
691,40351,20,0,39793,4037323.6
692,65816,36,1,48668,6590874.9
693,9897,83,0,55819,997040.7
694,74556,36,0,19713,7461430.1
695,77324,66,1,49817,7746689.0
696,19054,27,1,59992,1915949.7
697,19467,61,0,64898,1953949.5
698,23917,57,0,79479,2396597.2
699,27581,56,0,43343,2763880.8
700,7021,94,0,29269,707889.8
701,86898,10,1,81981,8700597.7
702,35752,37,1,40954,3584645.4
703,80254,5,0,14987,8032718.4
704,43729,50,1,86433,4386441.0
705,14296,27,1,42471,1438655.1
706,60263,14,0,71839,6027298.2
707,56348,39,1,74517,5645570.3
708,20462,4,1,61133,2051424.9
709,35966,4,1,51110,3600448.9
710,23790,55,1,90089,2387891.7
711,62563,35,1,37064,6268203.4
712,74693,98,0,69975,7476380.7
713,69815,68,0,33939,6994868.1
714,31372,70,1,45055,3141888.0
715,47377,91,1,93863,4742430.5
716,21748,5,1,75041,2180962.1
717,74938,28,0,57629,7496677.0
718,84747,97,1,50495,8483566.4
719,52843,75,1,53689,5291087.4
720,94638,50,0,80383,9465407.4
721,57035,7,1,19018,5710846.8
722,10031,44,0,46452,1007605.4
723,87362,50,1,87149,8743936.5
724,50571,39,1,80108,5063431.8
725,69918,32,0,43369,6995676.5
726,42217,74,1,58719,4228208.9
727,76907,10,1,41867,7694726.7
728,15500,92,1,81088,1554517.0
729,53304,47,0,78668,5337897.2
730,1973,1,0,19624,201809.0
731,91112,51,1,59209,9121414.1
732,76204,60,1,37849,7628150.0
733,97471,74,0,32462,9756243.3
734,88887,9,1,43521,8897254.5
735,38490,14,0,11235,3853460.7
736,72450,63,0,15715,7250244.8
737,88367,5,0,36833,8837449.8
738,30782,99,0,64577,3082971.0
739,5033,58,1,57432,508665.1
740,26519,33,1,19068,2656599.4
741,65934,29,0,98414,6597942.7
742,98106,98,0,47065,9811465.2
743,6577,9,1,82346,662852.6
744,18250,16,0,7383,1829113.1
745,40783,48,1,81432,4086725.2
746,33156,15,1,52491,3323470.4
747,47523,89,0,48868,4760526.6
748,79604,30,1,23402,7965563.6
749,95762,64,0,24349,9583086.4
750,31317,91,1,86804,3142581.5
751,788,53,0,24590,82042.4
752,41188,30,0,20895,4122637.2
753,62282,35,0,12448,6229623.0
754,45979,46,1,78140,4600373.4
755,35828,77,0,85172,3583375.8
756,84540,21,0,38246,8455482.7
757,70288,78,0,15319,7034567.1
758,44681,63,1,80786,4480399.5
759,8856,96,1,77863,895829.6
760,45730,11,1,22913,4583276.8
761,59478,22,0,93765,5950543.2
762,31692,7,0,37726,3172857.7
763,58737,66,1,60814,5882539.4
764,32100,79,1,34468,3213786.7
765,67663,1,0,17835,6775397.4
766,59810,64,1,25278,5991500.6
767,86186,85,0,58102,8620785.0
768,38030,53,0,13524,3803961.0
769,48331,2,1,1284,4839984.9
770,27856,34,1,93709,2795386.6
771,70976,84,0,79617,7101406.8
772,90180,91,0,1400,9023962.4
773,54646,10,0,12446,5479242.7
774,42024,72,1,22621,4205806.3
775,8969,72,1,69766,908919.3
776,38926,58,1,41410,3902208.7
777,80419,55,0,72171,8043741.8
778,5585,61,1,89016,564773.9
779,91651,97,0,28499,9172889.6
